,name
0,Apollo 11
1,Moon
2,Spacecraft
3,Orbiter
4,Lander
5,Rover
6,Probe
7,Shuttle
8,Satellite
9,Space Station
10,Space Capsule
11,Space Telescope
12,Interstellar
13,Extraterrestrial
14,NASA
15,ESA
16,Roscosmos
17,ISRO
18,CNSA
19,Launch Vehicle
20,Rocket
21,Booster
22,Thruster
23,Propulsion
24,Fuel
25,Solar Panel
26,Antenna
27,Docking
28,Command Module
29,Service Module
30,Heat Shield
31,Parachute
32,Escape System
33,Crewed Mission
34,Uncrewed Mission
35,Space Exploration
36,Deep Space
37,Low Earth Orbit
38,Geostationary Orbit
39,Spacewalk
40,Extravehicular Activity
41,Gravity Assist
42,Orbital Insertion
43,Reentry
44,Landing
45,Mars Mission
46,Moon Mission
47,Venus Mission
48,Jupiter Mission
49,Saturn Mission
50,Asteroid Belt
51,Kuiper Belt
52,Oort Cloud
53,Exoplanet
54,Habitat
55,Colonization
56,Terraforming
57,Space Mining
58,Space Tourism
59,Commercial Spaceflight
60,Reusable Rocket
61,Launch Pad
62,Mission Control
63,Telemetry
64,Trajectory
65,Orbital Mechanics
66,Thrust-to-Weight Ratio
67,Payload
68,Fairing
69,Stage Separation
70,Vacuum
71,Microgravity
72,Artificial Gravity
73,Radiation Shielding
74,Life Support
75,Space Suit
76,EVA Suit
77,MMU
78,Space Habitat
79,Space Colony
80,Lunar Base
81,Mars Base
82,Astrobiology
83,Astrophysics
84,Cosmology
85,Stellar Navigation
86,In-Situ Resource Utilization
87,Cryogenic Fuel
88,Ion Propulsion
89,Plasma Propulsion
90,Fusion Propulsion
91,Antimatter Propulsion
92,Space Debris
93,Orbital Decay
94,Space Junk
95,Space Weather
96,Solar Flare
97,Cosmic Rays
98,Van Allen Belts
99,Magnetosphere
100,Atmospheric Entry
101,Suborbital Flight
102,Trans-lunar Injection
103,Trans-Martian Injection
104,Aerobraking
105,Gravity Well
106,Lagrange Points
107,Hohmann Transfer
108,Biological Contamination
109,Planetary Protection
110,Deep Space Network
111,Space Communications
112,Interplanetary Travel
113,Intergalactic Travel
114,Space Elevator
115,Launch Window
116,Mission Timeline
117,Spacecraft Design
118,Spacecraft Testing
119,Spacecraft Manufacturing
120,Rocket Engine
121,Liquid Fuel
122,Solid Fuel
123,Hybrid Fuel
124,Cryogenics
125,Space Law
126,Space Policy
127,Astronaut
128,Cosmonaut
129,Taikonaut
130,Space Program
131,Space Agency
132,Space Race
133,Space Treaty
134,Outer Space
135,Space History
136,Space Future
137,Space Economy
138,Space Business
139,Space Industry
140,Space Conference
141,Space Symposium
142,Space Research
143,Space Innovation
144,Space Technology
145,Space Science
146,Space Medicine
147,Space Psychology
148,Space Education
149,Space Training
150,Space Simulation
151,Zero Gravity
152,Microgravity Research
153,Space Experiment
154,Space Laboratory
155,Space Observatory
156,Space Exploration Rover
157,Mars Rover
158,Lunar Rover
159,Space Probe
160,Deep Space Probe
161,Interstellar Probe
162,Planetary Rover
163,Solar System
164,Galaxy
165,Universe
166,Black Hole
167,Wormhole
168,White Dwarf
169,Red Giant
170,Neutron Star
171,Pulsar
172,Quasar
173,Supernova
174,Dark Matter
175,Dark Energy
176,Big Bang
177,Cosmic Microwave Background
178,Gravitational Waves
179,Space Art
180,Space Culture
181,Science Fiction
182,Space Opera
183,Starship
184,Alien Life
185,UFO
186,Space Documentary
187,Space Movie
188,Space TV Show
